gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,768,4096,6144,ck,2,0,81.4566,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,474.54,444.11,0.0
gfx942,304,896,4096,6144,ck,0,0,88.3715,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,510.31,430.13,0.0
gfx942,304,1024,4096,6144,ck,0,0,89.3868,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,576.59,445.77,0.0
gfx942,304,2048,4096,6144,ck,0,0,140.5617,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,733.34,387.91,0.0
gfx942,304,3072,4096,6144,ck,0,0,211.3576,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,731.55,327.44,0.0
gfx942,304,4096,4096,6144,ck,0,0,274.3171,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,751.53,305.8,0.0
gfx942,304,8192,4096,6144,ck,0,0,502.7477,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,820.13,283.65,0.0
gfx942,304,10240,4096,6144,ck,0,0,643.3785,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,801.08,267.29,0.0
gfx942,304,12288,4096,6144,ck,0,0,768.4099,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,804.88,262.0,0.0
gfx942,304,14336,4096,6144,ck,0,0,876.5132,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,823.21,263.19,0.0
gfx942,304,16384,4096,6144,ck,0,0,1027.481,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,802.58,253.09,0.0
gfx942,304,24576,4096,6144,ck,0,0,1537.9455,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,804.29,245.45,0.0
gfx942,304,32768,4096,6144,ck,0,0,2033.0762,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,811.22,243.44,0.0
gfx942,304,49152,4096,6144,ck,0,0,3065.4533,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,807.03,238.08,0.0
gfx942,304,65536,4096,6144,ck,0,0,4149.1728,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,794.99,232.5,0.0
